protein	scaffold	accession	name
MP_LCAL0064___contig_1_fragment_3_295	MP_LCAL0064___contig_1_fragment_3	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_3_296	MP_LCAL0064___contig_1_fragment_3	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_3_297	MP_LCAL0064___contig_1_fragment_3	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_3_298	MP_LCAL0064___contig_1_fragment_3	VOG00523	sp|Q9T1Q7|VP41_BPAPS Putative protein p41
MP_LCAL0064___contig_1_fragment_3_299	MP_LCAL0064___contig_1_fragment_3	VOG00399	sp|Q9T1Q4|VP44_BPAPS Putative nuclease p44
MP_LCAL0064___contig_1_fragment_3_300	MP_LCAL0064___contig_1_fragment_3	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_3_301	MP_LCAL0064___contig_1_fragment_3	PF13479.6	AAA domain
MP_LCAL0064___contig_1_fragment_3_302	MP_LCAL0064___contig_1_fragment_3	VOG03001	REFSEQ hypothetical protein
MP_LCAL0064___contig_1_fragment_3_303	MP_LCAL0064___contig_1_fragment_3	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_3_304	MP_LCAL0064___contig_1_fragment_3	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_3_305	MP_LCAL0064___contig_1_fragment_3	VOG00674	REFSEQ putative DNA polymerase
MP_LCAL0064___contig_1_fragment_3_306	MP_LCAL0064___contig_1_fragment_3	VOG00724	sp|P10277|PRIM_BPP4 Putative P4-specific DNA primase
MP_LCAL0064___contig_1_fragment_3_307	MP_LCAL0064___contig_1_fragment_3	VOG00188	sp|Q03182|RINA_BPPHA Transcriptional activator rinA
MP_LCAL0064___contig_1_fragment_3_308	MP_LCAL0064___contig_1_fragment_3	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_3_309	MP_LCAL0064___contig_1_fragment_3	VOG00679	REFSEQ HNH endonuclease
MP_LCAL0064___contig_1_fragment_3_310	MP_LCAL0064___contig_1_fragment_3	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_3_311	MP_LCAL0064___contig_1_fragment_3	PF03354.15	Phage Terminase
MP_LCAL0064___contig_1_fragment_3_312	MP_LCAL0064___contig_1_fragment_3	PF04860.12	Phage portal protein
MP_LCAL0064___contig_1_fragment_3_313	MP_LCAL0064___contig_1_fragment_3	K06904	K06904; uncharacterized protein
MP_LCAL0064___contig_1_fragment_3_314	MP_LCAL0064___contig_1_fragment_3	PF05065.13	Phage capsid family
MP_LCAL0064___contig_1_fragment_3_315	MP_LCAL0064___contig_1_fragment_3	VOG23089	REFSEQ hypothetical protein
MP_LCAL0064___contig_1_fragment_3_316	MP_LCAL0064___contig_1_fragment_3	VOG23090	REFSEQ head-tail adaptor
MP_LCAL0064___contig_1_fragment_3_317	MP_LCAL0064___contig_1_fragment_3	VOG23091	REFSEQ hypothetical protein
MP_LCAL0064___contig_1_fragment_3_318	MP_LCAL0064___contig_1_fragment_3	VOG00973	REFSEQ hypothetical protein
MP_LCAL0064___contig_1_fragment_3_319	MP_LCAL0064___contig_1_fragment_3	VOG01397	REFSEQ major tail protein
MP_LCAL0064___contig_1_fragment_3_320	MP_LCAL0064___contig_1_fragment_3	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_3_321	MP_LCAL0064___contig_1_fragment_3	VOG02333	REFSEQ tail tape measure protein
MP_LCAL0064___contig_1_fragment_3_322	MP_LCAL0064___contig_1_fragment_3	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_3_323	MP_LCAL0064___contig_1_fragment_3	VOG00824	REFSEQ putative antireceptor
MP_LCAL0064___contig_1_fragment_3_324	MP_LCAL0064___contig_1_fragment_3	VOG13479	REFSEQ gp067
MP_LCAL0064___contig_1_fragment_3_325	MP_LCAL0064___contig_1_fragment_3	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_3_326	MP_LCAL0064___contig_1_fragment_3	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_3_327	MP_LCAL0064___contig_1_fragment_3	PF10779.9	Haemolysin XhlA
MP_LCAL0064___contig_1_fragment_3_328	MP_LCAL0064___contig_1_fragment_3	PF16938.5	Putative phage holin Dp-1
MP_LCAL0064___contig_1_fragment_3_329	MP_LCAL0064___contig_1_fragment_3	PF05382.13	Bacteriophage peptidoglycan hydrolase
MP_LCAL0064___contig_1_fragment_5_447	MP_LCAL0064___contig_1_fragment_5	K06977	K06977; uncharacterized protein
MP_LCAL0064___contig_1_fragment_5_448	MP_LCAL0064___contig_1_fragment_5	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_5_449	MP_LCAL0064___contig_1_fragment_5	PF08282.12	haloacid dehalogenase-like hydrolase
MP_LCAL0064___contig_1_fragment_5_450	MP_LCAL0064___contig_1_fragment_5	VOG00041	sp|O10330|VLF1_NPVOP Very late expression factor 1
MP_LCAL0064___contig_1_fragment_5_451	MP_LCAL0064___contig_1_fragment_5	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_5_452	MP_LCAL0064___contig_1_fragment_5	PF07553.11	Host cell surface-exposed lipoprotein
MP_LCAL0064___contig_1_fragment_5_453	MP_LCAL0064___contig_1_fragment_5	VOG20253	REFSEQ hypothetical protein
MP_LCAL0064___contig_1_fragment_5_454	MP_LCAL0064___contig_1_fragment_5	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_5_455	MP_LCAL0064___contig_1_fragment_5	VOG10124	sp|O34449|YOQD_BACSU SPBc2 prophage-derived putative antirepressor protein YoqD
MP_LCAL0064___contig_1_fragment_5_456	MP_LCAL0064___contig_1_fragment_5	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_5_457	MP_LCAL0064___contig_1_fragment_5	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_5_458	MP_LCAL0064___contig_1_fragment_5	K07741	antB; anti-repressor protein
MP_LCAL0064___contig_1_fragment_5_459	MP_LCAL0064___contig_1_fragment_5	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_5_460	MP_LCAL0064___contig_1_fragment_5	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_5_461	MP_LCAL0064___contig_1_fragment_5	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_5_462	MP_LCAL0064___contig_1_fragment_5	K07741	antB; anti-repressor protein
MP_LCAL0064___contig_1_fragment_5_463	MP_LCAL0064___contig_1_fragment_5	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_5_464	MP_LCAL0064___contig_1_fragment_5	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_5_465	MP_LCAL0064___contig_1_fragment_5	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_5_466	MP_LCAL0064___contig_1_fragment_5	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_5_467	MP_LCAL0064___contig_1_fragment_5	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_5_468	MP_LCAL0064___contig_1_fragment_5	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_5_469	MP_LCAL0064___contig_1_fragment_5	PF03837.14	RecT family
MP_LCAL0064___contig_1_fragment_5_470	MP_LCAL0064___contig_1_fragment_5	PF12684.7	PDDEXK-like domain of unknown function (DUF3799)
MP_LCAL0064___contig_1_fragment_5_471	MP_LCAL0064___contig_1_fragment_5	PF16784.5	Putative HNHc nuclease
MP_LCAL0064___contig_1_fragment_5_472	MP_LCAL0064___contig_1_fragment_5	VOG21431	REFSEQ hypothetical protein
MP_LCAL0064___contig_1_fragment_5_473	MP_LCAL0064___contig_1_fragment_5	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_5_474	MP_LCAL0064___contig_1_fragment_5	VOG00404	sp|P9WGD4|SSB_MYCTO Single-stranded DNA-binding protein
MP_LCAL0064___contig_1_fragment_5_475	MP_LCAL0064___contig_1_fragment_5	VOG01162	sp|O34055|ARPU_BPO12 Putative autolysin regulatory protein ArpU
MP_LCAL0064___contig_1_fragment_5_476	MP_LCAL0064___contig_1_fragment_5	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_5_477	MP_LCAL0064___contig_1_fragment_5	VOG01156	REFSEQ hypothetical protein
MP_LCAL0064___contig_1_fragment_5_478	MP_LCAL0064___contig_1_fragment_5	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_5_479	MP_LCAL0064___contig_1_fragment_5	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_5_480	MP_LCAL0064___contig_1_fragment_5	VOG00962	REFSEQ hypothetical protein
MP_LCAL0064___contig_1_fragment_5_481	MP_LCAL0064___contig_1_fragment_5	VOG00687	REFSEQ terminase small subunit
MP_LCAL0064___contig_1_fragment_5_482	MP_LCAL0064___contig_1_fragment_5	VOG04497	REFSEQ putative terminase small subunit
MP_LCAL0064___contig_1_fragment_5_483	MP_LCAL0064___contig_1_fragment_5	PF04860.12	Phage portal protein
MP_LCAL0064___contig_1_fragment_5_484	MP_LCAL0064___contig_1_fragment_5	K06904	K06904; uncharacterized protein
MP_LCAL0064___contig_1_fragment_5_485	MP_LCAL0064___contig_1_fragment_5	VOG13487	REFSEQ major capsid L
MP_LCAL0064___contig_1_fragment_5_486	MP_LCAL0064___contig_1_fragment_5	VOG00181	REFSEQ hypothetical protein
MP_LCAL0064___contig_1_fragment_5_487	MP_LCAL0064___contig_1_fragment_5	VOG00066	sp|O48446|HCP16_BPSPP Head completion protein gp16
MP_LCAL0064___contig_1_fragment_5_488	MP_LCAL0064___contig_1_fragment_5	VOG03575	REFSEQ hypothetical protein
MP_LCAL0064___contig_1_fragment_5_489	MP_LCAL0064___contig_1_fragment_5	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_5_490	MP_LCAL0064___contig_1_fragment_5	VOG01397	REFSEQ major tail protein
MP_LCAL0064___contig_1_fragment_5_491	MP_LCAL0064___contig_1_fragment_5	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_5_492	MP_LCAL0064___contig_1_fragment_5	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_5_493	MP_LCAL0064___contig_1_fragment_5	VOG04056	REFSEQ hypothetical protein
MP_LCAL0064___contig_1_fragment_5_494	MP_LCAL0064___contig_1_fragment_5	VOG01075	REFSEQ hypothetical protein
MP_LCAL0064___contig_1_fragment_5_495	MP_LCAL0064___contig_1_fragment_5	PF06605.11	Prophage endopeptidase tail
MP_LCAL0064___contig_1_fragment_5_496	MP_LCAL0064___contig_1_fragment_5	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_5_497	MP_LCAL0064___contig_1_fragment_5	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_5_498	MP_LCAL0064___contig_1_fragment_5	VOG18935	REFSEQ hypothetical protein
MP_LCAL0064___contig_1_fragment_5_499	MP_LCAL0064___contig_1_fragment_5	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_5_500	MP_LCAL0064___contig_1_fragment_5	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_5_501	MP_LCAL0064___contig_1_fragment_5	PF09693.10	Phage uncharacterised protein (Phage_XkdX)
MP_LCAL0064___contig_1_fragment_5_502	MP_LCAL0064___contig_1_fragment_5	PF10779.9	Haemolysin XhlA
MP_LCAL0064___contig_1_fragment_5_503	MP_LCAL0064___contig_1_fragment_5	PF16938.5	Putative phage holin Dp-1
MP_LCAL0064___contig_1_fragment_5_504	MP_LCAL0064___contig_1_fragment_5	K07273	acm; lysozyme
MP_LCAL0064___contig_1_fragment_5_505	MP_LCAL0064___contig_1_fragment_5	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_5_506	MP_LCAL0064___contig_1_fragment_5	VOG14226	REFSEQ hypothetical protein
MP_LCAL0064___contig_1_fragment_7_675	MP_LCAL0064___contig_1_fragment_7	K00059	"fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"
MP_LCAL0064___contig_1_fragment_7_676	MP_LCAL0064___contig_1_fragment_7	PF11195.8	Protein of unknown function (DUF2829)
MP_LCAL0064___contig_1_fragment_7_677	MP_LCAL0064___contig_1_fragment_7	PF01205.19	Uncharacterized protein family UPF0029
MP_LCAL0064___contig_1_fragment_7_678	MP_LCAL0064___contig_1_fragment_7	K02240	comFA; competence protein ComFA
MP_LCAL0064___contig_1_fragment_7_679	MP_LCAL0064___contig_1_fragment_7	K06400	spoIVCA; site-specific DNA recombinase
MP_LCAL0064___contig_1_fragment_7_680	MP_LCAL0064___contig_1_fragment_7	VOG01190	REFSEQ hypothetical protein
MP_LCAL0064___contig_1_fragment_7_681	MP_LCAL0064___contig_1_fragment_7	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_7_682	MP_LCAL0064___contig_1_fragment_7	VOG20253	REFSEQ hypothetical protein
MP_LCAL0064___contig_1_fragment_7_683	MP_LCAL0064___contig_1_fragment_7	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_7_684	MP_LCAL0064___contig_1_fragment_7	VOG10124	sp|O34449|YOQD_BACSU SPBc2 prophage-derived putative antirepressor protein YoqD
MP_LCAL0064___contig_1_fragment_7_685	MP_LCAL0064___contig_1_fragment_7	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_7_686	MP_LCAL0064___contig_1_fragment_7	VOG03676	REFSEQ hypothetical protein
MP_LCAL0064___contig_1_fragment_7_687	MP_LCAL0064___contig_1_fragment_7	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_7_688	MP_LCAL0064___contig_1_fragment_7	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_7_689	MP_LCAL0064___contig_1_fragment_7	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_7_690	MP_LCAL0064___contig_1_fragment_7	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_7_691	MP_LCAL0064___contig_1_fragment_7	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_7_692	MP_LCAL0064___contig_1_fragment_7	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_7_693	MP_LCAL0064___contig_1_fragment_7	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_7_694	MP_LCAL0064___contig_1_fragment_7	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_7_695	MP_LCAL0064___contig_1_fragment_7	VOG01036	sp|C0SP91|YYCJ_BACSU Putative metallo-hydrolase YycJ
MP_LCAL0064___contig_1_fragment_7_696	MP_LCAL0064___contig_1_fragment_7	VOG12256	REFSEQ hypothetical protein
MP_LCAL0064___contig_1_fragment_7_697	MP_LCAL0064___contig_1_fragment_7	VOG24297	REFSEQ gp30
MP_LCAL0064___contig_1_fragment_7_698	MP_LCAL0064___contig_1_fragment_7	VOG00674	REFSEQ putative DNA polymerase
MP_LCAL0064___contig_1_fragment_7_699	MP_LCAL0064___contig_1_fragment_7	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_7_700	MP_LCAL0064___contig_1_fragment_7	VOG24298	REFSEQ gp32
MP_LCAL0064___contig_1_fragment_7_701	MP_LCAL0064___contig_1_fragment_7	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_7_702	MP_LCAL0064___contig_1_fragment_7	VOG00188	sp|Q03182|RINA_BPPHA Transcriptional activator rinA
MP_LCAL0064___contig_1_fragment_7_703	MP_LCAL0064___contig_1_fragment_7	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_7_704	MP_LCAL0064___contig_1_fragment_7	K07474	xtmA; phage terminase small subunit
MP_LCAL0064___contig_1_fragment_7_705	MP_LCAL0064___contig_1_fragment_7	K06909	xtmB; phage terminase large subunit
MP_LCAL0064___contig_1_fragment_7_706	MP_LCAL0064___contig_1_fragment_7	PF05133.14	"Phage portal protein, SPP1 Gp6-like"
MP_LCAL0064___contig_1_fragment_7_707	MP_LCAL0064___contig_1_fragment_7	VOG00686	sp|Q38442|GP7_BPSPP Minor head protein GP7
MP_LCAL0064___contig_1_fragment_7_708	MP_LCAL0064___contig_1_fragment_7	PF14265.6	Domain of unknown function (DUF4355)
MP_LCAL0064___contig_1_fragment_7_709	MP_LCAL0064___contig_1_fragment_7	VOG00633	sp|O64210|CAPSD_BPMD2 Probable major capsid protein gp17
MP_LCAL0064___contig_1_fragment_7_710	MP_LCAL0064___contig_1_fragment_7	PF02368.18	Bacterial Ig-like domain (group 2)
MP_LCAL0064___contig_1_fragment_7_711	MP_LCAL0064___contig_1_fragment_7	VOG00283	sp|Q38584|HCP15_BPSPP Head completion protein gp15
MP_LCAL0064___contig_1_fragment_7_712	MP_LCAL0064___contig_1_fragment_7	VOG01134	REFSEQ hypothetical protein
MP_LCAL0064___contig_1_fragment_7_713	MP_LCAL0064___contig_1_fragment_7	VOG00973	REFSEQ hypothetical protein
MP_LCAL0064___contig_1_fragment_7_714	MP_LCAL0064___contig_1_fragment_7	VOG00743	sp|O48448|COMPL_BPSPP Tail completion protein gp17
MP_LCAL0064___contig_1_fragment_7_715	MP_LCAL0064___contig_1_fragment_7	VOG00149	sp|A9CRB8|TAIL_BPMR1 Putative tail protein
MP_LCAL0064___contig_1_fragment_7_716	MP_LCAL0064___contig_1_fragment_7	PF12363.8	"Phage tail assembly chaperone protein, TAC"
MP_LCAL0064___contig_1_fragment_7_717	MP_LCAL0064___contig_1_fragment_7	VOG01394	REFSEQ hypothetical protein
MP_LCAL0064___contig_1_fragment_7_718	MP_LCAL0064___contig_1_fragment_7	VOG02632	REFSEQ gp14
MP_LCAL0064___contig_1_fragment_7_719	MP_LCAL0064___contig_1_fragment_7	VOG00097	sp|O48459|DIT_BPSPP Distal tail protein
MP_LCAL0064___contig_1_fragment_7_720	MP_LCAL0064___contig_1_fragment_7	VOG00824	REFSEQ putative antireceptor
MP_LCAL0064___contig_1_fragment_7_721	MP_LCAL0064___contig_1_fragment_7	VOG13479	REFSEQ gp067
MP_LCAL0064___contig_1_fragment_7_722	MP_LCAL0064___contig_1_fragment_7	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_7_723	MP_LCAL0064___contig_1_fragment_7	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_7_724	MP_LCAL0064___contig_1_fragment_7	PF10779.9	Haemolysin XhlA
MP_LCAL0064___contig_1_fragment_7_725	MP_LCAL0064___contig_1_fragment_7	PF16938.5	Putative phage holin Dp-1
MP_LCAL0064___contig_1_fragment_7_726	MP_LCAL0064___contig_1_fragment_7	PF05382.13	Bacteriophage peptidoglycan hydrolase
MP_LCAL0064___contig_1_fragment_12_1168	MP_LCAL0064___contig_1_fragment_12	VOG00041	sp|O10330|VLF1_NPVOP Very late expression factor 1
MP_LCAL0064___contig_1_fragment_12_1169	MP_LCAL0064___contig_1_fragment_12	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_12_1170	MP_LCAL0064___contig_1_fragment_12	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_12_1171	MP_LCAL0064___contig_1_fragment_12	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_12_1172	MP_LCAL0064___contig_1_fragment_12	VOG14094	sp|A0A0H3CCP8|SOCA_CAUVN Antitoxin SocA
MP_LCAL0064___contig_1_fragment_12_1173	MP_LCAL0064___contig_1_fragment_12	K07273	acm; lysozyme
MP_LCAL0064___contig_1_fragment_12_1174	MP_LCAL0064___contig_1_fragment_12	PF16938.5	Putative phage holin Dp-1
MP_LCAL0064___contig_1_fragment_12_1175	MP_LCAL0064___contig_1_fragment_12	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_12_1176	MP_LCAL0064___contig_1_fragment_12	PF09693.10	Phage uncharacterised protein (Phage_XkdX)
MP_LCAL0064___contig_1_fragment_12_1177	MP_LCAL0064___contig_1_fragment_12	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_12_1178	MP_LCAL0064___contig_1_fragment_12	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_12_1179	MP_LCAL0064___contig_1_fragment_12	VOG18935	REFSEQ hypothetical protein
MP_LCAL0064___contig_1_fragment_12_1180	MP_LCAL0064___contig_1_fragment_12	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_12_1181	MP_LCAL0064___contig_1_fragment_12	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_12_1182	MP_LCAL0064___contig_1_fragment_12	PF06605.11	Prophage endopeptidase tail
MP_LCAL0064___contig_1_fragment_12_1183	MP_LCAL0064___contig_1_fragment_12	VOG01075	REFSEQ hypothetical protein
MP_LCAL0064___contig_1_fragment_12_1184	MP_LCAL0064___contig_1_fragment_12	VOG04056	REFSEQ hypothetical protein
MP_LCAL0064___contig_1_fragment_12_1185	MP_LCAL0064___contig_1_fragment_12	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_12_1186	MP_LCAL0064___contig_1_fragment_12	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_12_1187	MP_LCAL0064___contig_1_fragment_12	VOG01397	REFSEQ major tail protein
MP_LCAL0064___contig_1_fragment_12_1188	MP_LCAL0064___contig_1_fragment_12	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_12_1189	MP_LCAL0064___contig_1_fragment_12	VOG03575	REFSEQ hypothetical protein
MP_LCAL0064___contig_1_fragment_12_1190	MP_LCAL0064___contig_1_fragment_12	VOG00066	sp|O48446|HCP16_BPSPP Head completion protein gp16
MP_LCAL0064___contig_1_fragment_12_1191	MP_LCAL0064___contig_1_fragment_12	VOG00181	REFSEQ hypothetical protein
MP_LCAL0064___contig_1_fragment_12_1192	MP_LCAL0064___contig_1_fragment_12	VOG13487	REFSEQ major capsid L
MP_LCAL0064___contig_1_fragment_12_1193	MP_LCAL0064___contig_1_fragment_12	K06904	K06904; uncharacterized protein
MP_LCAL0064___contig_1_fragment_12_1194	MP_LCAL0064___contig_1_fragment_12	PF04860.12	Phage portal protein
MP_LCAL0064___contig_1_fragment_12_1195	MP_LCAL0064___contig_1_fragment_12	VOG04497	REFSEQ putative terminase small subunit
MP_LCAL0064___contig_1_fragment_12_1196	MP_LCAL0064___contig_1_fragment_12	VOG00687	REFSEQ terminase small subunit
MP_LCAL0064___contig_1_fragment_12_1197	MP_LCAL0064___contig_1_fragment_12	VOG00962	REFSEQ hypothetical protein
MP_LCAL0064___contig_1_fragment_12_1198	MP_LCAL0064___contig_1_fragment_12	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_12_1199	MP_LCAL0064___contig_1_fragment_12	VOG00361	sp|P10426|YIM2_BPPH1 Uncharacterized immunity region protein 2
MP_LCAL0064___contig_1_fragment_12_1200	MP_LCAL0064___contig_1_fragment_12	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_12_1201	MP_LCAL0064___contig_1_fragment_12	VOG01162	sp|O34055|ARPU_BPO12 Putative autolysin regulatory protein ArpU
MP_LCAL0064___contig_1_fragment_12_1202	MP_LCAL0064___contig_1_fragment_12	VOG00404	sp|P9WGD4|SSB_MYCTO Single-stranded DNA-binding protein
MP_LCAL0064___contig_1_fragment_12_1203	MP_LCAL0064___contig_1_fragment_12	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_12_1204	MP_LCAL0064___contig_1_fragment_12	VOG01042	sp|P39787|DNAD_BACSU DNA replication protein DnaD
MP_LCAL0064___contig_1_fragment_12_1205	MP_LCAL0064___contig_1_fragment_12	PF16784.5	Putative HNHc nuclease
MP_LCAL0064___contig_1_fragment_12_1206	MP_LCAL0064___contig_1_fragment_12	VOG09746	sp|P04892|ERF_BPP22 Essential recombination function protein
MP_LCAL0064___contig_1_fragment_12_1207	MP_LCAL0064___contig_1_fragment_12	VOG11084	REFSEQ hypothetical protein
MP_LCAL0064___contig_1_fragment_12_1208	MP_LCAL0064___contig_1_fragment_12	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_12_1209	MP_LCAL0064___contig_1_fragment_12	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_12_1210	MP_LCAL0064___contig_1_fragment_12	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_12_1211	MP_LCAL0064___contig_1_fragment_12	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_12_1212	MP_LCAL0064___contig_1_fragment_12	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_12_1213	MP_LCAL0064___contig_1_fragment_12	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_12_1214	MP_LCAL0064___contig_1_fragment_12	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_12_1215	MP_LCAL0064___contig_1_fragment_12	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_12_1216	MP_LCAL0064___contig_1_fragment_12	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_12_1217	MP_LCAL0064___contig_1_fragment_12	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_12_1218	MP_LCAL0064___contig_1_fragment_12	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_12_1219	MP_LCAL0064___contig_1_fragment_12	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_12_1220	MP_LCAL0064___contig_1_fragment_12	PF01381.22	Helix-turn-helix
MP_LCAL0064___contig_1_fragment_12_1221	MP_LCAL0064___contig_1_fragment_12	VOG20253	REFSEQ hypothetical protein
MP_LCAL0064___contig_1_fragment_13_1237	MP_LCAL0064___contig_1_fragment_13	PF05382.13	Bacteriophage peptidoglycan hydrolase
MP_LCAL0064___contig_1_fragment_13_1238	MP_LCAL0064___contig_1_fragment_13	PF16938.5	Putative phage holin Dp-1
MP_LCAL0064___contig_1_fragment_13_1239	MP_LCAL0064___contig_1_fragment_13	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_13_1240	MP_LCAL0064___contig_1_fragment_13	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_13_1241	MP_LCAL0064___contig_1_fragment_13	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_13_1242	MP_LCAL0064___contig_1_fragment_13	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_13_1243	MP_LCAL0064___contig_1_fragment_13	VOG13479	REFSEQ gp067
MP_LCAL0064___contig_1_fragment_13_1244	MP_LCAL0064___contig_1_fragment_13	VOG00824	REFSEQ putative antireceptor
MP_LCAL0064___contig_1_fragment_13_1245	MP_LCAL0064___contig_1_fragment_13	VOG00097	sp|O48459|DIT_BPSPP Distal tail protein
MP_LCAL0064___contig_1_fragment_13_1246	MP_LCAL0064___contig_1_fragment_13	VOG02632	REFSEQ gp14
MP_LCAL0064___contig_1_fragment_13_1247	MP_LCAL0064___contig_1_fragment_13	VOG01394	REFSEQ hypothetical protein
MP_LCAL0064___contig_1_fragment_13_1248	MP_LCAL0064___contig_1_fragment_13	PF12363.8	"Phage tail assembly chaperone protein, TAC"
MP_LCAL0064___contig_1_fragment_13_1249	MP_LCAL0064___contig_1_fragment_13	VOG00149	sp|A9CRB8|TAIL_BPMR1 Putative tail protein
MP_LCAL0064___contig_1_fragment_13_1250	MP_LCAL0064___contig_1_fragment_13	VOG00743	sp|O48448|COMPL_BPSPP Tail completion protein gp17
MP_LCAL0064___contig_1_fragment_13_1251	MP_LCAL0064___contig_1_fragment_13	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_13_1252	MP_LCAL0064___contig_1_fragment_13	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_13_1253	MP_LCAL0064___contig_1_fragment_13	K22994	pelX; pectate disaccharide-lyase [EC:4.2.2.9]
MP_LCAL0064___contig_1_fragment_13_1254	MP_LCAL0064___contig_1_fragment_13	VOG00188	sp|Q03182|RINA_BPPHA Transcriptional activator rinA
MP_LCAL0064___contig_1_fragment_13_1255	MP_LCAL0064___contig_1_fragment_13	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_13_1256	MP_LCAL0064___contig_1_fragment_13	None	hypothetical protein
MP_LCAL0064___contig_1_fragment_13_1257	MP_LCAL0064___contig_1_fragment_13	VOG00459	REFSEQ putative CI-like transcriptional repressor
