protein	scaffold	KO	AMG	KO name	KO evalue	KO score	KO v-score	Pfam	Pfam name	Pfam evalue	Pfam score	Pfam v-score	VOG	VOG name	VOG evalue	VOG score	VOG v-score
MP_ONT141___contig_1_fragment_1_56	MP_ONT141___contig_1_fragment_1	K07729		K07729; putative transcriptional regulator	9.6e-15	53.6	2.41	PF01381.22	Helix-turn-helix	8.8e-13	44.2	5.99	VOG00004	sp|P51704|RPC1_BPHC1 Repressor protein CI	3e-14	48.9	10.0
MP_ONT141___contig_1_fragment_1_57	MP_ONT141___contig_1_fragment_1																
MP_ONT141___contig_1_fragment_1_58	MP_ONT141___contig_1_fragment_1	K07741		antB; anti-repressor protein	3.8999999999999996e-30	104.6	2.25	PF03374.14	Phage antirepressor protein KilAC domain	8.9e-36	118.5	2.71	VOG10124	sp|O34449|YOQD_BACSU SPBc2 prophage-derived putative antirepressor protein YoqD	1.4e-45	151.8	7.43
MP_ONT141___contig_1_fragment_1_59	MP_ONT141___contig_1_fragment_1																
MP_ONT141___contig_1_fragment_1_60	MP_ONT141___contig_1_fragment_1																
MP_ONT141___contig_1_fragment_1_61	MP_ONT141___contig_1_fragment_1																
MP_ONT141___contig_1_fragment_1_62	MP_ONT141___contig_1_fragment_1																
MP_ONT141___contig_1_fragment_1_63	MP_ONT141___contig_1_fragment_1																
MP_ONT141___contig_1_fragment_1_64	MP_ONT141___contig_1_fragment_1												VOG02181	REFSEQ hypothetical protein	3.3999999999999996e-36	120.6	0.59
MP_ONT141___contig_1_fragment_1_65	MP_ONT141___contig_1_fragment_1																
MP_ONT141___contig_1_fragment_1_66	MP_ONT141___contig_1_fragment_1																
MP_ONT141___contig_1_fragment_1_67	MP_ONT141___contig_1_fragment_1																
MP_ONT141___contig_1_fragment_1_68	MP_ONT141___contig_1_fragment_1							PF13412.6	Winged helix-turn-helix DNA-binding	8.2e-13	43.8	0.03					
MP_ONT141___contig_1_fragment_1_69	MP_ONT141___contig_1_fragment_1												VOG01036	sp|C0SP91|YYCJ_BACSU Putative metallo-hydrolase YycJ	7.099999999999998e-36	120.0	3.45
MP_ONT141___contig_1_fragment_1_70	MP_ONT141___contig_1_fragment_1																
MP_ONT141___contig_1_fragment_1_71	MP_ONT141___contig_1_fragment_1							PF07083.11	Protein of unknown function (DUF1351)	2.6e-24	82.1	0.84	VOG12256	REFSEQ hypothetical protein	1.3e-32	109.0	2.63
MP_ONT141___contig_1_fragment_1_72	MP_ONT141___contig_1_fragment_1												VOG24297	REFSEQ gp30	4.4e-38	127.0	0.05
MP_ONT141___contig_1_fragment_1_73	MP_ONT141___contig_1_fragment_1	K02319		"pol; DNA polymerase, archaea type [EC:2.7.7.7]"	3.6e-15	54.0	2.28						VOG00674	REFSEQ putative DNA polymerase	2.1999999999999995e-107	355.8	3.61
MP_ONT141___contig_1_fragment_1_74	MP_ONT141___contig_1_fragment_1	K06919		K06919; putative DNA primase/helicase	6.5e-25	85.5	2.86						VOG24298	REFSEQ gp32	7.799999999999997e-170	562.3	0.05
MP_ONT141___contig_1_fragment_1_75	MP_ONT141___contig_1_fragment_1												VOG00065	sp|Q38441|YOR5_BPSPP Uncharacterized 10.3 kDa protein in GP2-GP6 intergenic region	8.300000000000001e-22	73.4	7.1
MP_ONT141___contig_1_fragment_1_76	MP_ONT141___contig_1_fragment_1																
MP_ONT141___contig_1_fragment_1_77	MP_ONT141___contig_1_fragment_1												VOG00188	sp|Q03182|RINA_BPPHA Transcriptional activator rinA	7.899999999999999e-23	77.2	9.06
MP_ONT141___contig_1_fragment_1_78	MP_ONT141___contig_1_fragment_1																
MP_ONT141___contig_1_fragment_1_79	MP_ONT141___contig_1_fragment_1																
MP_ONT141___contig_1_fragment_1_80	MP_ONT141___contig_1_fragment_1	K07451		mcrA; 5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]	2.0000000000000002e-11	42.7	0.95						VOG00962	REFSEQ hypothetical protein	2.3e-21	72.3	1.79
MP_ONT141___contig_1_fragment_1_81	MP_ONT141___contig_1_fragment_1							PF05119.12	"Phage terminase, small subunit"	4.3e-20	68.0	1.58	VOG00687	REFSEQ terminase small subunit	9.9e-27	89.6	8.56
MP_ONT141___contig_1_fragment_1_82	MP_ONT141___contig_1_fragment_1							PF03354.15	Phage Terminase	2.4999999999999996e-52	173.9	2.87	VOG04497	REFSEQ putative terminase small subunit	3.3999999999999997e-74	245.3	1.93
MP_ONT141___contig_1_fragment_1_83	MP_ONT141___contig_1_fragment_1							PF04860.12	Phage portal protein	5.3e-46	153.2	4.78	VOG00236	sp|Q4Z9G3|PORTL_BPTWO Probable portal protein	6.799999999999999e-35	117.0	10.0
MP_ONT141___contig_1_fragment_1_84	MP_ONT141___contig_1_fragment_1	K06904		K06904; uncharacterized protein	9.3e-36	122.6	2.41	PF04586.17	Caudovirus prohead serine protease	1.1e-36	122.4	1.83	VOG03165	sp|Q6QGD7|PRO_BPT5 Prohead protease	9.5e-29	96.6	10.0
MP_ONT141___contig_1_fragment_1_85	MP_ONT141___contig_1_fragment_1							PF05065.13	Phage capsid family	4.2e-24	81.3	5.12	VOG13487	REFSEQ major capsid L	7.2000000000000005e-90	298.0	1.98
MP_ONT141___contig_1_fragment_1_86	MP_ONT141___contig_1_fragment_1												VOG00181	REFSEQ hypothetical protein	1.2e-13	46.9	7.11
MP_ONT141___contig_1_fragment_1_87	MP_ONT141___contig_1_fragment_1																
MP_ONT141___contig_1_fragment_1_88	MP_ONT141___contig_1_fragment_1												VOG03575	REFSEQ hypothetical protein	1.1e-21	73.3	1.72
MP_ONT141___contig_1_fragment_1_89	MP_ONT141___contig_1_fragment_1																
MP_ONT141___contig_1_fragment_1_90	MP_ONT141___contig_1_fragment_1							PF04630.12	Phage tail tube protein	5.6e-22	74.0	1.0	VOG01397	REFSEQ major tail protein	6.6e-29	96.8	6.53
MP_ONT141___contig_1_fragment_1_91	MP_ONT141___contig_1_fragment_1																
MP_ONT141___contig_1_fragment_1_92	MP_ONT141___contig_1_fragment_1																
MP_ONT141___contig_1_fragment_1_93	MP_ONT141___contig_1_fragment_1																
MP_ONT141___contig_1_fragment_1_94	MP_ONT141___contig_1_fragment_1												VOG04056	REFSEQ hypothetical protein	9.999999999999998e-71	234.7	0.58
MP_ONT141___contig_1_fragment_1_95	MP_ONT141___contig_1_fragment_1							PF05709.11	Phage tail protein	3.8e-29	97.8	3.63	VOG01075	REFSEQ hypothetical protein	7.3e-37	122.9	2.99
MP_ONT141___contig_1_fragment_1_96	MP_ONT141___contig_1_fragment_1							PF06605.11	Prophage endopeptidase tail	2.7999999999999994e-46	154.1	4.15	VOG00452	REFSEQ hypothetical protein	7.1e-30	100.3	1.98
MP_ONT141___contig_1_fragment_1_97	MP_ONT141___contig_1_fragment_1																
MP_ONT141___contig_1_fragment_1_98	MP_ONT141___contig_1_fragment_1																
MP_ONT141___contig_1_fragment_1_99	MP_ONT141___contig_1_fragment_1							PF10651.9	BppU N-terminal domain	6.7e-35	116.0	1.48	VOG18935	REFSEQ hypothetical protein	1.8e-36	121.9	0.23
MP_ONT141___contig_1_fragment_1_100	MP_ONT141___contig_1_fragment_1																
MP_ONT141___contig_1_fragment_1_101	MP_ONT141___contig_1_fragment_1																
MP_ONT141___contig_1_fragment_1_102	MP_ONT141___contig_1_fragment_1							PF09693.10	Phage uncharacterised protein (Phage_XkdX)	1.3999999999999999e-18	62.7	1.0	VOG00146	sp|O31968|YOMP_BACSU SPBc2 prophage-derived uncharacterized protein YomP	6.4e-17	56.9	3.45
MP_ONT141___contig_1_fragment_1_103	MP_ONT141___contig_1_fragment_1							PF10779.9	Haemolysin XhlA	2.2e-21	71.9	1.0	VOG00192	sp|O48470|HOL24_BPSPP Holin-like protein 24.1	3.2e-13	45.7	1.97
MP_ONT141___contig_1_fragment_1_104	MP_ONT141___contig_1_fragment_1							PF16938.5	Putative phage holin Dp-1	4.6e-31	102.9	1.0	VOG01434	sp|O03978|HOLIN_BPDP1 Holin	3.3e-20	68.5	1.0
MP_ONT141___contig_1_fragment_1_105	MP_ONT141___contig_1_fragment_1	K07273		acm; lysozyme	4.9999999999999994e-55	185.9	1.23	PF16775.5	Target recognition domain of lytic exoenzyme	4.5e-51	167.5	0.44	VOG23273	REFSEQ endolysin	2.3e-26	88.2	1.07
MP_ONT141___contig_1_fragment_4_551	MP_ONT141___contig_1_fragment_4	K02013		ABC.FEV.A; iron complex transport system ATP-binding protein [EC:7.2.2.-]	2.5999999999999997e-104	348.6	0.03	PF00005.27	ABC transporter	1.5e-32	109.0	0.13	VOG00385	sp|P03271|PKG1_ADE05 Packaging protein 1	1.8e-38	128.1	0.77
MP_ONT141___contig_1_fragment_4_552	MP_ONT141___contig_1_fragment_4	K09022		"ridA, tdcF, RIDA; 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]"	2.3999999999999997e-51	174.1	0.02	PF01042.21	Endoribonuclease L-PSP	4.6999999999999996e-39	129.2	0.02					
MP_ONT141___contig_1_fragment_4_553	MP_ONT141___contig_1_fragment_4																
MP_ONT141___contig_1_fragment_4_554	MP_ONT141___contig_1_fragment_4	K01356		lexA; repressor LexA [EC:3.4.21.88]	1.0000000000000001e-24	86.3	2.88	PF00717.23	Peptidase S24-like	2.7999999999999998e-12	42.5	1.35	VOG00459	REFSEQ putative CI-like transcriptional repressor	4.2e-28	94.3	0.49
MP_ONT141___contig_1_fragment_4_555	MP_ONT141___contig_1_fragment_4																
MP_ONT141___contig_1_fragment_4_556	MP_ONT141___contig_1_fragment_4																
MP_ONT141___contig_1_fragment_4_557	MP_ONT141___contig_1_fragment_4												VOG00188	sp|Q03182|RINA_BPPHA Transcriptional activator rinA	5.4e-20	68.0	9.06
MP_ONT141___contig_1_fragment_4_558	MP_ONT141___contig_1_fragment_4	K22994	AMG	pelX; pectate disaccharide-lyase [EC:4.2.2.9]	2.3999999999999988e-209	696.9	0	PF13229.6	Right handed beta helix region	1.5e-15	53.4	0.47					
MP_ONT141___contig_1_fragment_4_559	MP_ONT141___contig_1_fragment_4																
MP_ONT141___contig_1_fragment_4_560	MP_ONT141___contig_1_fragment_4																
MP_ONT141___contig_1_fragment_4_561	MP_ONT141___contig_1_fragment_4												VOG00743	sp|O48448|COMPL_BPSPP Tail completion protein gp17	3.8e-19	65.0	4.73
MP_ONT141___contig_1_fragment_4_562	MP_ONT141___contig_1_fragment_4							PF06199.11	Phage tail tube protein	1.2e-20	70.0	1.0	VOG00149	sp|A9CRB8|TAIL_BPMR1 Putative tail protein	8.799999999999999e-41	135.5	5.26
MP_ONT141___contig_1_fragment_4_563	MP_ONT141___contig_1_fragment_4							PF12363.8	"Phage tail assembly chaperone protein, TAC"	9.399999999999999e-39	128.3	1.0	VOG00446	REFSEQ hypothetical protein	4.0999999999999997e-23	78.1	3.96
MP_ONT141___contig_1_fragment_4_564	MP_ONT141___contig_1_fragment_4												VOG01394	REFSEQ hypothetical protein	1.7999999999999998e-35	118.3	2.22
MP_ONT141___contig_1_fragment_4_565	MP_ONT141___contig_1_fragment_4												VOG02632	REFSEQ gp14	8.600000000000001e-29	96.2	8.4
MP_ONT141___contig_1_fragment_4_566	MP_ONT141___contig_1_fragment_4							PF05709.11	Phage tail protein	1.4e-19	66.5	3.63	VOG00097	sp|O48459|DIT_BPSPP Distal tail protein	5.299999999999999e-35	117.2	5.58
MP_ONT141___contig_1_fragment_4_567	MP_ONT141___contig_1_fragment_4							PF18013.1	Phage tail lysozyme	5.6000000000000005e-33	110.0	1.0	VOG00824	REFSEQ putative antireceptor	1.5999999999999999e-121	403.0	1.44
MP_ONT141___contig_1_fragment_4_568	MP_ONT141___contig_1_fragment_4							PF10651.9	BppU N-terminal domain	8e-38	125.5	1.48	VOG13479	REFSEQ gp067	8.199999999999999e-54	178.6	0.52
MP_ONT141___contig_1_fragment_4_569	MP_ONT141___contig_1_fragment_4																
MP_ONT141___contig_1_fragment_4_570	MP_ONT141___contig_1_fragment_4																
MP_ONT141___contig_1_fragment_4_571	MP_ONT141___contig_1_fragment_4																
MP_ONT141___contig_1_fragment_4_572	MP_ONT141___contig_1_fragment_4																
MP_ONT141___contig_1_fragment_4_573	MP_ONT141___contig_1_fragment_4							PF16938.5	Putative phage holin Dp-1	1.9e-31	104.1	1.0	VOG01434	sp|O03978|HOLIN_BPDP1 Holin	6.7e-20	67.5	1.0
MP_ONT141___contig_1_fragment_4_574	MP_ONT141___contig_1_fragment_4							PF05382.13	Bacteriophage peptidoglycan hydrolase	1e-62	206.3	1.0	VOG02574	sp|O03979|ALYS_BPDP1 Lysin	3.3e-56	186.8	3.48
MP_ONT141___contig_1_fragment_12_1193	MP_ONT141___contig_1_fragment_12	K03648		"UNG, UDG; uracil-DNA glycosylase [EC:3.2.2.27]"	5.7e-119	397.2	0.04	PF03167.19	Uracil DNA glycosylase superfamily	2.1999999999999997e-25	85.5	0.07	VOG05099	sp|P04303|UNG_VACCW Uracil-DNA glycosylase	1e-85	283.1	0.15
MP_ONT141___contig_1_fragment_12_1194	MP_ONT141___contig_1_fragment_12	K07339		hicA; mRNA interferase HicA [EC:3.1.-.-]	5.9999999999999995e-12	44.5	0.15	PF07927.12	"HicA toxin of bacterial toxin-antitoxin,"	1.1000000000000001e-18	63.0	0.3					
MP_ONT141___contig_1_fragment_12_1195	MP_ONT141___contig_1_fragment_12	K18843		hicB; antitoxin HicB	6.2e-13	47.3	0.36						VOG11403	sp|P51716|YO14_BPHC1 Uncharacterized 14.9 kDa protein in rep-hol intergenic region	2.8e-32	107.7	1.77
MP_ONT141___contig_1_fragment_12_1196	MP_ONT141___contig_1_fragment_12																
MP_ONT141___contig_1_fragment_12_1197	MP_ONT141___contig_1_fragment_12																
MP_ONT141___contig_1_fragment_12_1198	MP_ONT141___contig_1_fragment_12																
MP_ONT141___contig_1_fragment_12_1199	MP_ONT141___contig_1_fragment_12												VOG14226	REFSEQ hypothetical protein	1.6000000000000002e-19	65.6	0.61
MP_ONT141___contig_1_fragment_12_1200	MP_ONT141___contig_1_fragment_12																
MP_ONT141___contig_1_fragment_12_1201	MP_ONT141___contig_1_fragment_12	K07273		acm; lysozyme	2.4999999999999997e-55	186.9	1.23	PF16775.5	Target recognition domain of lytic exoenzyme	6.7e-48	157.3	0.44	VOG23273	REFSEQ endolysin	2.3e-26	88.1	1.07
MP_ONT141___contig_1_fragment_12_1202	MP_ONT141___contig_1_fragment_12							PF16938.5	Putative phage holin Dp-1	5.6e-31	102.6	1.0	VOG01434	sp|O03978|HOLIN_BPDP1 Holin	3.6e-19	65.1	1.0
MP_ONT141___contig_1_fragment_12_1203	MP_ONT141___contig_1_fragment_12							PF10779.9	Haemolysin XhlA	3.1000000000000002e-21	71.4	1.0	VOG00192	sp|O48470|HOL24_BPSPP Holin-like protein 24.1	1.2e-13	47.1	1.97
MP_ONT141___contig_1_fragment_12_1204	MP_ONT141___contig_1_fragment_12							PF09693.10	Phage uncharacterised protein (Phage_XkdX)	5e-19	64.1	1.0	VOG00146	sp|O31968|YOMP_BACSU SPBc2 prophage-derived uncharacterized protein YomP	7.700000000000001e-17	56.6	3.45
MP_ONT141___contig_1_fragment_12_1205	MP_ONT141___contig_1_fragment_12																
MP_ONT141___contig_1_fragment_12_1206	MP_ONT141___contig_1_fragment_12																
MP_ONT141___contig_1_fragment_12_1207	MP_ONT141___contig_1_fragment_12							PF10651.9	BppU N-terminal domain	6.7e-35	116.0	1.48	VOG18935	REFSEQ hypothetical protein	1.8e-36	121.9	0.23
MP_ONT141___contig_1_fragment_12_1208	MP_ONT141___contig_1_fragment_12																
MP_ONT141___contig_1_fragment_12_1209	MP_ONT141___contig_1_fragment_12																
MP_ONT141___contig_1_fragment_12_1210	MP_ONT141___contig_1_fragment_12							PF06605.11	Prophage endopeptidase tail	1.4999999999999997e-45	151.7	4.15	VOG00452	REFSEQ hypothetical protein	2.2e-29	98.6	1.98
MP_ONT141___contig_1_fragment_12_1211	MP_ONT141___contig_1_fragment_12							PF05709.11	Phage tail protein	1.4e-29	99.3	3.63	VOG01075	REFSEQ hypothetical protein	2.5e-37	124.4	2.99
MP_ONT141___contig_1_fragment_12_1212	MP_ONT141___contig_1_fragment_12												VOG04056	REFSEQ hypothetical protein	1.7e-81	270.5	0.58
MP_ONT141___contig_1_fragment_12_1213	MP_ONT141___contig_1_fragment_12																
MP_ONT141___contig_1_fragment_12_1214	MP_ONT141___contig_1_fragment_12																
MP_ONT141___contig_1_fragment_12_1215	MP_ONT141___contig_1_fragment_12							PF04630.12	Phage tail tube protein	1.9e-23	78.8	1.0	VOG01397	REFSEQ major tail protein	7.199999999999999e-31	103.2	6.53
MP_ONT141___contig_1_fragment_12_1216	MP_ONT141___contig_1_fragment_12																
MP_ONT141___contig_1_fragment_12_1217	MP_ONT141___contig_1_fragment_12												VOG03575	REFSEQ hypothetical protein	1.6e-22	76.0	1.72
MP_ONT141___contig_1_fragment_12_1218	MP_ONT141___contig_1_fragment_12												VOG00066	sp|O48446|HCP16_BPSPP Head completion protein gp16	2.4e-17	58.9	10.0
MP_ONT141___contig_1_fragment_12_1219	MP_ONT141___contig_1_fragment_12							PF05135.13	Phage gp6-like head-tail connector protein	4.3e-12	42.5	1.0	VOG00181	REFSEQ hypothetical protein	1.5e-14	49.8	7.11
MP_ONT141___contig_1_fragment_12_1220	MP_ONT141___contig_1_fragment_12							PF05065.13	Phage capsid family	1.1e-24	83.3	5.12	VOG13487	REFSEQ major capsid L	7.999999999999998e-90	297.9	1.98
MP_ONT141___contig_1_fragment_12_1221	MP_ONT141___contig_1_fragment_12	K06904		K06904; uncharacterized protein	2.7e-50	170.4	2.41	PF04586.17	Caudovirus prohead serine protease	2.2000000000000003e-51	170.2	1.83	VOG03165	sp|Q6QGD7|PRO_BPT5 Prohead protease	2.3999999999999997e-36	121.5	10.0
MP_ONT141___contig_1_fragment_12_1222	MP_ONT141___contig_1_fragment_12							PF04860.12	Phage portal protein	2.2999999999999996e-45	151.1	4.78	VOG00236	sp|Q4Z9G3|PORTL_BPTWO Probable portal protein	1.6999999999999999e-35	119.0	10.0
MP_ONT141___contig_1_fragment_12_1223	MP_ONT141___contig_1_fragment_12							PF03354.15	Phage Terminase	2.4999999999999996e-52	173.9	2.87	VOG04497	REFSEQ putative terminase small subunit	3.3999999999999997e-74	245.3	1.93
MP_ONT141___contig_1_fragment_12_1224	MP_ONT141___contig_1_fragment_12							PF05119.12	"Phage terminase, small subunit"	4.3e-20	68.0	1.58	VOG00687	REFSEQ terminase small subunit	9.9e-27	89.6	8.56
MP_ONT141___contig_1_fragment_12_1225	MP_ONT141___contig_1_fragment_12	K07451		mcrA; 5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]	2.0000000000000002e-11	42.7	0.95						VOG00962	REFSEQ hypothetical protein	2.3e-21	72.3	1.79
MP_ONT141___contig_1_fragment_12_1226	MP_ONT141___contig_1_fragment_12																
MP_ONT141___contig_1_fragment_12_1227	MP_ONT141___contig_1_fragment_12																
MP_ONT141___contig_1_fragment_12_1228	MP_ONT141___contig_1_fragment_12												VOG01156	REFSEQ hypothetical protein	3.9e-12	42.3	1.03
MP_ONT141___contig_1_fragment_12_1229	MP_ONT141___contig_1_fragment_12																
MP_ONT141___contig_1_fragment_12_1230	MP_ONT141___contig_1_fragment_12												VOG01162	sp|O34055|ARPU_BPO12 Putative autolysin regulatory protein ArpU	1.4999999999999999e-33	111.8	4.78
MP_ONT141___contig_1_fragment_12_1231	MP_ONT141___contig_1_fragment_12	K03111		ssb; single-strand DNA-binding protein	3.5e-44	150.9	4.34	PF00436.25	Single-strand binding protein family	5.1e-37	122.1	4.28	VOG00404	sp|P9WGD4|SSB_MYCTO Single-stranded DNA-binding protein	2e-48	160.3	10.0
MP_ONT141___contig_1_fragment_12_1232	MP_ONT141___contig_1_fragment_12																
MP_ONT141___contig_1_fragment_12_1233	MP_ONT141___contig_1_fragment_12							PF09681.10	N-terminal phage replisome organiser (Phage_rep_org_N)	9.7e-24	79.6	1.0	VOG21431	REFSEQ hypothetical protein	4.4e-33	110.4	2.25
MP_ONT141___contig_1_fragment_12_1234	MP_ONT141___contig_1_fragment_12							PF16784.5	Putative HNHc nuclease	1e-35	119.1	0.55	VOG00232	sp|P76162|YDFU_ECOLI Uncharacterized protein YdfU	4.7000000000000004e-30	100.3	2.92
MP_ONT141___contig_1_fragment_12_1235	MP_ONT141___contig_1_fragment_12							PF13479.6	AAA domain	1.5999999999999998e-14	50.1	2.7	VOG01757	REFSEQ AAA ATPase	1.4999999999999997e-64	214.4	1.73
MP_ONT141___contig_1_fragment_12_1236	MP_ONT141___contig_1_fragment_12							PF05565.11	Siphovirus Gp157	7.400000000000001e-46	152.1	1.0	VOG11084	REFSEQ hypothetical protein	2.5e-47	156.6	3.79
MP_ONT141___contig_1_fragment_12_1237	MP_ONT141___contig_1_fragment_12																
MP_ONT141___contig_1_fragment_12_1238	MP_ONT141___contig_1_fragment_12																
MP_ONT141___contig_1_fragment_12_1239	MP_ONT141___contig_1_fragment_12												VOG02181	REFSEQ hypothetical protein	1.0999999999999999e-41	138.6	0.59
MP_ONT141___contig_1_fragment_12_1240	MP_ONT141___contig_1_fragment_12																
MP_ONT141___contig_1_fragment_12_1241	MP_ONT141___contig_1_fragment_12																
MP_ONT141___contig_1_fragment_12_1242	MP_ONT141___contig_1_fragment_12	K07741		antB; anti-repressor protein	2.8999999999999993e-69	233.1	2.25	PF03374.14	Phage antirepressor protein KilAC domain	5.7999999999999996e-36	119.1	2.71	VOG00572	sp|P19655|ANT_BPP1 Antirepressor protein 1	1.2e-34	115.8	6.13
MP_ONT141___contig_1_fragment_12_1243	MP_ONT141___contig_1_fragment_12																
MP_ONT141___contig_1_fragment_12_1244	MP_ONT141___contig_1_fragment_12																
MP_ONT141___contig_1_fragment_12_1245	MP_ONT141___contig_1_fragment_12																
MP_ONT141___contig_1_fragment_12_1246	MP_ONT141___contig_1_fragment_12												VOG14084	REFSEQ hypothetical protein	3.3000000000000003e-25	84.2	0.48
MP_ONT141___contig_1_fragment_12_1247	MP_ONT141___contig_1_fragment_12																
MP_ONT141___contig_1_fragment_12_1248	MP_ONT141___contig_1_fragment_12	K07729		K07729; putative transcriptional regulator	5.2000000000000005e-12	44.7	2.41	PF01381.22	Helix-turn-helix	1.7e-13	46.4	5.99	VOG02771	sp|P03034|RPC1_LAMBD Repressor protein cI	2.0000000000000002e-11	40.5	10.0
MP_ONT141___contig_1_fragment_12_1249	MP_ONT141___contig_1_fragment_12	K01356		lexA; repressor LexA [EC:3.4.21.88]	5.8999999999999995e-21	74.0	2.88	PF00717.23	Peptidase S24-like	5.5e-13	44.7	1.35	VOG20253	REFSEQ hypothetical protein	8.899999999999999e-29	96.1	0.66
MP_ONT141___contig_1_fragment_12_1250	MP_ONT141___contig_1_fragment_12																
MP_ONT141___contig_1_fragment_12_1251	MP_ONT141___contig_1_fragment_12	K14059		int; integrase	2.3e-50	170.9	7.0	PF00589.22	Phage integrase family	1.5e-31	105.5	9.33	VOG00041	sp|O10330|VLF1_NPVOP Very late expression factor 1	3.2e-61	203.4	10.0
MP_ONT141___contig_1_fragment_14_1372	MP_ONT141___contig_1_fragment_14							PF05382.13	Bacteriophage peptidoglycan hydrolase	7.999999999999998e-63	206.6	1.0	VOG02574	sp|O03979|ALYS_BPDP1 Lysin	5.700000000000001e-55	182.8	3.48
MP_ONT141___contig_1_fragment_14_1373	MP_ONT141___contig_1_fragment_14							PF16938.5	Putative phage holin Dp-1	3.8e-31	103.1	1.0	VOG01434	sp|O03978|HOLIN_BPDP1 Holin	2.7e-20	68.7	1.0
MP_ONT141___contig_1_fragment_14_1374	MP_ONT141___contig_1_fragment_14							PF10779.9	Haemolysin XhlA	7.8e-21	70.1	1.0	VOG00192	sp|O48470|HOL24_BPSPP Holin-like protein 24.1	2.2e-13	46.2	1.97
MP_ONT141___contig_1_fragment_14_1375	MP_ONT141___contig_1_fragment_14																
MP_ONT141___contig_1_fragment_14_1376	MP_ONT141___contig_1_fragment_14																
MP_ONT141___contig_1_fragment_14_1377	MP_ONT141___contig_1_fragment_14							PF10651.9	BppU N-terminal domain	7.3e-35	115.9	1.48	VOG13479	REFSEQ gp067	1.6e-52	174.4	0.52
MP_ONT141___contig_1_fragment_14_1378	MP_ONT141___contig_1_fragment_14							PF18013.1	Phage tail lysozyme	1.1e-32	109.0	1.0	VOG00824	REFSEQ putative antireceptor	5.799999999999999e-73	242.5	1.44
MP_ONT141___contig_1_fragment_14_1379	MP_ONT141___contig_1_fragment_14																
MP_ONT141___contig_1_fragment_14_1380	MP_ONT141___contig_1_fragment_14							PF10145.9	Phage-related minor tail protein	2e-17	59.7	4.37	VOG02333	REFSEQ tail tape measure protein	5.299999999999999e-35	117.1	1.21
MP_ONT141___contig_1_fragment_14_1381	MP_ONT141___contig_1_fragment_14																
MP_ONT141___contig_1_fragment_14_1382	MP_ONT141___contig_1_fragment_14												VOG01397	REFSEQ major tail protein	9.2e-12	40.9	6.53
MP_ONT141___contig_1_fragment_14_1383	MP_ONT141___contig_1_fragment_14												VOG00973	REFSEQ hypothetical protein	2.5e-11	40.0	10.0
MP_ONT141___contig_1_fragment_14_1384	MP_ONT141___contig_1_fragment_14												VOG23091	REFSEQ hypothetical protein	2.1e-15	53.0	0.11
MP_ONT141___contig_1_fragment_14_1385	MP_ONT141___contig_1_fragment_14												VOG23090	REFSEQ head-tail adaptor	5.7000000000000004e-27	90.0	1.0
MP_ONT141___contig_1_fragment_14_1386	MP_ONT141___contig_1_fragment_14												VOG23089	REFSEQ hypothetical protein	5.5e-15	51.4	0.12
MP_ONT141___contig_1_fragment_14_1387	MP_ONT141___contig_1_fragment_14							PF05065.13	Phage capsid family	2.4e-40	134.6	5.12	VOG00633	sp|O64210|CAPSD_BPMD2 Probable major capsid protein gp17	8.2e-35	116.8	10.0
MP_ONT141___contig_1_fragment_14_1388	MP_ONT141___contig_1_fragment_14	K06904		K06904; uncharacterized protein	1.3e-55	187.8	2.41	PF04586.17	Caudovirus prohead serine protease	9.8e-53	174.7	1.83	VOG03165	sp|Q6QGD7|PRO_BPT5 Prohead protease	4.4e-39	130.4	10.0
MP_ONT141___contig_1_fragment_14_1389	MP_ONT141___contig_1_fragment_14							PF04860.12	Phage portal protein	2.1e-29	98.7	4.78	VOG00236	sp|Q4Z9G3|PORTL_BPTWO Probable portal protein	1.8e-17	59.8	10.0
MP_ONT141___contig_1_fragment_14_1390	MP_ONT141___contig_1_fragment_14							PF03354.15	Phage Terminase	5.1e-60	199.3	2.87	VOG09810	"sp|P17312|TERL_BPT4 Terminase, large subunit"	2.8e-27	92.4	10.0
MP_ONT141___contig_1_fragment_14_1391	MP_ONT141___contig_1_fragment_14																
MP_ONT141___contig_1_fragment_14_1392	MP_ONT141___contig_1_fragment_14	K07451		mcrA; 5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]	4.6e-12	44.8	0.95	PF01844.23	HNH endonuclease	2.7000000000000002e-12	42.7	1.1	VOG00679	REFSEQ HNH endonuclease	2.5999999999999996e-19	65.4	2.76
MP_ONT141___contig_1_fragment_14_1393	MP_ONT141___contig_1_fragment_14																
MP_ONT141___contig_1_fragment_14_1394	MP_ONT141___contig_1_fragment_14												VOG00188	sp|Q03182|RINA_BPPHA Transcriptional activator rinA	8.699999999999999e-16	54.3	9.06
MP_ONT141___contig_1_fragment_14_1395	MP_ONT141___contig_1_fragment_14	K06919		K06919; putative DNA primase/helicase	2.5e-40	136.6	2.86						VOG00724	sp|P10277|PRIM_BPP4 Putative P4-specific DNA primase	2.3999999999999997e-66	220.6	6.23
MP_ONT141___contig_1_fragment_14_1396	MP_ONT141___contig_1_fragment_14												VOG00674	REFSEQ putative DNA polymerase	5.299999999999998e-109	361.1	3.61
